horizon,model,AUC_ADI,AUC_NoADI,Delta_AUC
6mo,Logistic,0.5723239973844813,0.5809410418483,-0.008617044463818724
6mo,RandomForest,0.576701176983435,0.5685176002615518,0.00818357672188319
6mo,XGBoost,0.6109680143853531,0.6120272994768963,-0.0010592850915431828
12mo,Logistic,0.5944538295959237,0.6072058663251683,-0.01275203672924452
12mo,RandomForest,0.5709619628892946,0.5738927413421978,-0.0029307784529032377
12mo,XGBoost,0.5883450042233183,0.5998201683877824,-0.011475164164464147
24mo,Logistic,0.6078508953257022,0.6111496903611449,-0.0032987950354426143
24mo,RandomForest,0.5715942955823708,0.5764009112598296,-0.00480661567745877
24mo,XGBoost,0.599548999595187,0.6064017510314118,-0.006852751436224769
